Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
HEK2,PMA1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",57060,9914
LSM7,PRP4,"Fromont-Racine M, et al. (2000)-10900456-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,10900456,"Fromont-Racine M, et al. (2000) Genome-wide protein interaction screens reveal functional networks involving Sm-like proteins. Yeast 17(2):95-110",51690,5048
HTA2,HIF1,"Liu H, et al. (2014)-24946827-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,24946827,"Liu H, et al. (2014) Structural insights into yeast histone chaperone Hif1: a scaffold protein recruiting protein complexes to core histones. Biochem J 462(3):465-73",8335,4678
SSB2,NUD1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3303,2615
RSR1,CDC24,"Zheng Y, et al. (1995)-7822288-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,7822288,"Zheng Y, et al. (1995) Interactions among proteins involved in bud-site selection and bud-site assembly in Saccharomyces cerevisiae. J Biol Chem 270(2):626-30",51655,7409
SSN8,MYO3,"Tonikian R, et al. (2009)-19841731-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,19841731,"Tonikian R, et al. (2009) Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins. PLoS Biol 7(10):e1000218",892,4640
SEC4,GDI1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",51762,2664
MGA2,RSP5,Shcherbik N and Haines DS (2007)-17289586-Biochemical Activity,physical,manually curated,Hit,Biochemical Activity,17289586,Shcherbik N and Haines DS (2007) Cdc48p(Npl4p/Ufd1p) binds and segregates membrane-anchored/tethered complexes via a polyubiquitin signal present on the anchors. Mol Cell 25(3):385-97,84988,57154
HTA1,RET1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8329,55703
CLB3,CDC28,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",898,1019
HTA2,EBP2,"Lambert JP, et al. (2009)-19106085-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19106085,"Lambert JP, et al. (2009) A novel proteomics approach for the discovery of chromatin-associated protein networks. Mol Cell Proteomics 8(4):870-82",55506,10969
MDL2,SNC2,"Miller JP, et al. (2005)-16093310-PCA",physical,high-throughput,Hit,PCA,16093310,"Miller JP, et al. (2005) Large-scale identification of yeast integral membrane protein interactions. Proc Natl Acad Sci U S A 102(34):12123-8",8647,9341
HSC82,STI1,"Schmid AB, et al. (2012)-22227520-Co-crystal Structure",physical,manually curated,Hit,Co-crystal Structure,22227520,"Schmid AB, et al. (2012) The architecture of functional modules in the Hsp90 co-chaperone Sti1/Hop. EMBO J 31(6):1506-17",3326,79657
YPT1,MRS6,"Bauer BE, et al. (1996)-8898359-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,8898359,"Bauer BE, et al. (1996) Amino- and carboxy-terminal domains of the yeast Rab escort protein are both required for binding of Ypt small G proteins. Mol Biol Cell 7(10):1521-33",51762,1122
HSL1,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",57787,3020
HHO1,NHP6B,Xue X and Lehming N (2008)-18448120-PCA,physical,manually curated,Hit,PCA,18448120,Xue X and Lehming N (2008) Nhp6p and Med3p regulate gene expression by controlling the local subunit composition of RNA polymerase II. J Mol Biol 379(2):212-30,3024,642623
HHT2,ARP7,"Chatterjee N, et al. (2011)-21749977-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,21749977,"Chatterjee N, et al. (2011) Histone H3 tail acetylation modulates ATP-dependent remodeling through multiple mechanisms. Nucleic Acids Res 39(19):8378-91",8355,440915
MSP1,ATG1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",84896,3551
HSP26,BNI1,"Miao Y, et al. (2013)-24133141-Reconstituted Complex",physical,high-throughput,Hit,Reconstituted Complex,24133141,"Miao Y, et al. (2013) Cell-cycle regulation of formin-mediated actin cable assembly. Proc Natl Acad Sci U S A 110(47):E4446-55",8988,64423
CDC12,CDC3,"Nagaraj S, et al. (2008)-18541672-Two-hybrid",physical,manually curated,Hit,Two-hybrid,18541672,"Nagaraj S, et al. (2008) Role of nucleotide binding in septin-septin interactions and septin localization in Saccharomyces cerevisiae. Mol Cell Biol 28(16):5120-37",4735,151011
HTA1,HHT2,"Fukuma M, et al. (1994)-8017102-Co-purification",physical,manually curated,Bait,Co-purification,8017102,"Fukuma M, et al. (1994) Purification of yeast histones competent for nucleosome assembly in vitro. Yeast 10(3):319-31",3012,126961
TCM62,RSP5,"O'Connor HF, et al. (2015)-26508657-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,26508657,"O'Connor HF, et al. (2015) Ubiquitin-Activated Interaction Traps (UBAITs) identify E3 ligase binding partners. EMBO Rep 16(12):1699-712",6950,4734
SRM1,HHT1,"Dilworth DJ, et al. (2005)-16365162-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,16365162,"Dilworth DJ, et al. (2005) The mobile nucleoporin Nup2p and chromatin-bound Prp20p function in endogenous NPC-mediated transcriptional control. J Cell Biol 171(6):955-65",55920,8968
RCK2,RAD53,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",5681,9201
CDH1,HSL1,"Girard JR, et al. (2015)-26306044-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,26306044,"Girard JR, et al. (2015) An E2 accessory domain increases affinity for the anaphase-promoting complex and ensures E2 competition. J Biol Chem 290(40):24614-25",51343,23387
BUD27,CDC3,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",84246,641977
HSP82,GEF1,"Zhao R, et al. (2005)-15766533-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,15766533,"Zhao R, et al. (2005) Navigating the chaperone network: an integrative map of physical and genetic interactions mediated by the hsp90 chaperone. Cell 120(5):715-27",3326,1185
ATP16,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",513,3311
TPK2,CMK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",6196,5681
SWD1,HHT2,"Murton BL, et al. (2010)-20347846-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,20347846,"Murton BL, et al. (2010) Characterising the binding specificities of the subunits associated with the KMT2/Set1 histone lysine methyltransferase. J Mol Biol 398(4):481-8",5929,8350
ZUO1,HYP2,Jao DL and Chen KY (2006)-16215987-Affinity Capture-MS,physical,manually curated,Hit,Affinity Capture-MS,16215987,Jao DL and Chen KY (2006) Tandem affinity purification revealed the hypusine-dependent binding of eukaryotic initiation factor 5A to the translating 80S ribosomal complex. J Cell Biochem 97(3):583-98,27000,56648
SIZ1,VPS27,"Srikumar T, et al. (2013)-23712011-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,23712011,"Srikumar T, et al. (2013) A global S. cerevisiae small ubiquitin-related modifier (SUMO) system interactome. Mol Syst Biol 9:668",57178,10254
NOP10,PDE2,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",55505,5153
HTB1,POB3,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8346,6749
NEO1,AKR1,"Schlecht U, et al. (2012)-22615397-PCA",physical,high-throughput,Hit,PCA,22615397,"Schlecht U, et al. (2012) Multiplex assay for condition-dependent changes in protein-protein interactions. Proc Natl Acad Sci U S A 109(23):9213-8",374868,257629
HHT1,HTA1,"Camahort R, et al. (2009)-19782029-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,19782029,"Camahort R, et al. (2009) Cse4 is part of an octameric nucleosome in budding yeast. Mol Cell 35(6):794-805",3021,8332
SGF29,GCN5,"Lee KK, et al. (2011)-21734642-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,21734642,"Lee KK, et al. (2011) Combinatorial depletion analysis to assemble the network architecture of the SAGA and ADA chromatin remodeling complexes. Mol Syst Biol 7:503",112869,29994
IFA38,FPS1,"Miller JP, et al. (2005)-16093310-PCA",physical,high-throughput,Hit,PCA,16093310,"Miller JP, et al. (2005) Large-scale identification of yeast integral membrane protein interactions. Proc Natl Acad Sci U S A 102(34):12123-8",1666,366
SSO1,SEC1,"Weber M, et al. (2010)-20181830-PCA",physical,manually curated,Hit,PCA,20181830,"Weber M, et al. (2010) Mso1p regulates membrane fusion through interactions with the putative N-peptide-binding area in Sec1p domain 1. Mol Biol Cell 21(8):1362-74",8676,6814
RRI1,DHH1,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",10987,1656
CDC3,CDC11,"Nagaraj S, et al. (2008)-18541672-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,18541672,"Nagaraj S, et al. (2008) Role of nucleotide binding in septin-septin interactions and septin localization in Saccharomyces cerevisiae. Mol Cell Biol 28(16):5120-37",23176,5414
NUP2,MLP2,"Bretes H, et al. (2014)-24500206-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,24500206,"Bretes H, et al. (2014) Sumoylation of the THO complex regulates the biogenesis of a subset of mRNPs. Nucleic Acids Res 42(8):5043-58",727851,7175
UBP15,AKL1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",23358,22848
YNG1,POB3,"Smart SK, et al. (2009)-19621382-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19621382,"Smart SK, et al. (2009) Mapping the local protein interactome of the NuA3 histone acetyltransferase. Protein Sci 18(9):1987-97",3621,27324
CCH1,ISW1,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",259232,6594
PHO23,HHT2,"Shi X, et al. (2007)-17142463-Affinity Capture-Luminescence",physical,manually curated,Hit,Affinity Capture-Luminescence,17142463,"Shi X, et al. (2007) Proteome-wide analysis in Saccharomyces cerevisiae identifies several PHD fingers as novel direct and selective binding modules of histone H3 methylated at either lysine 4 or lysine 36. J Biol Chem 282(4):2450-5",3622,3021
YTH1,CDC28,"Yahya G, et al. (2014)-24374311-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,24374311,"Yahya G, et al. (2014) A Whi7-anchored loop controls the G1 Cdk-cyclin complex at start. Mol Cell 53(1):115-26",10898,983
TIM23,TIM17,"van der Laan M, et al. (2005)-16107694-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,16107694,"van der Laan M, et al. (2005) Pam17 is required for architecture and translocation activity of the mitochondrial protein import motor. Mol Cell Biol 25(17):7449-58",100287932,10245
SSP120,VPS34,"Graef M, et al. (2013)-23904270-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23904270,"Graef M, et al. (2013) ER exit sites are physical and functional core autophagosome biogenesis components. Mol Biol Cell 24(18):2918-31",4925,5288
ATG1,PRC1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",8408,5476
SET2,HHT1,"Rao B, et al. (2005)-16227595-Co-localization",physical,manually curated,Hit,Co-localization,16227595,"Rao B, et al. (2005) Dimethylation of histone H3 at lysine 36 demarcates regulatory and nonregulatory chromatin genome-wide. Mol Cell Biol 25(21):9447-59",10919,8354
SRO9,RPL27B,"Schenk L, et al. (2012)-22271760-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,22271760,"Schenk L, et al. (2012) La-motif-dependent mRNA association with Slf1 promotes copper detoxification in yeast. RNA 18(3):449-61",23185,6155
HHF1,HHT2,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Bait,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",8362,3021
RAD53,DBF4,"Matthews LA, et al. (2014)-24285546-Two-hybrid",physical,manually curated,Hit,Two-hybrid,24285546,"Matthews LA, et al. (2014) A novel non-canonical forkhead-associated (FHA) domain-binding interface mediates the interaction between Rad53 and Dbf4 proteins. J Biol Chem 289(5):2589-99",166614,80174
SAS2,HHF2,"Suka N, et al. (2002)-12379856-Co-localization",physical,manually curated,Bait,Co-localization,12379856,"Suka N, et al. (2002) Sir2p and Sas2p opposingly regulate acetylation of yeast histone H4 lysine16 and spreading of heterochromatin. Nat Genet 32(3):378-83",84148,8368
TPK1,BCY1,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",27330,5576
SET5,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",64754,57472
RAD52,RAD51,"Arai N, et al. (2011)-21454474-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,21454474,"Arai N, et al. (2011) Vital roles of the second DNA-binding site of Rad52 protein in yeast homologous recombination. J Biol Chem 286(20):17607-17",5893,5892
BEM2,HHF1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",1123,8364
